"title";"description";"skillType";"uri"
"tote reports";"Read reports related to horserace betting and interpret the information.";"knowledge";"http://data.europa.eu/esco/skill/882acc84-4300-4533-a8ed-5bd7c65b9166"
"monitor maritime operations";"Monitor maritime activities, materials and surroundings. Review information from materials, events or the environment; identify and assess problems and communicate with ship captains.";"skill";"http://data.europa.eu/esco/skill/97d2785e-f788-48a4-bcc9-24eae3b1dc96"
"source criticism";"Process of classifying various informational sources into different categories such as historical and non-historical, or primary and secondary, and evaluating those sources on the basis of their content, material features, authors etc.";"knowledge";"http://data.europa.eu/esco/skill/57b7804d-048b-4293-b8ac-a105d0468883"
"develop textile colouring recipes";"Developing recipes for dyeing and printing processes of textiles.";"skill";"http://data.europa.eu/esco/skill/90d5321e-0a21-485a-9607-a13b05ae6c11"
"use techniques to improve wine features";"Use techniques such as proper wine storage to maintain quality and actually improve in aroma, flavour, and complexity as it matures.";"skill";"http://data.europa.eu/esco/skill/6ab23365-c07e-4e95-aeff-7f57429b5315"
"types of toy materials";"Field of information which distinguishes the nature and different types of toy materials, such as wood, glass, plastic, steel, etc.";"knowledge";"http://data.europa.eu/esco/skill/bc87f316-b87f-456f-b8bb-0e6efa965999"
"develop artistic research framework";"Develop a framework for investigation on artistic issues.";"skill";"http://data.europa.eu/esco/skill/70bea666-ce48-4586-9a0d-392b3c944ceb"
"balance participants' personal needs with group needs";"Apply a variety of approaches in your practice that balances the needs of each individual with that of the group as a whole. Strengthen each individual's capability and experience, known as person centred practice, while at the same time stimulating the participants and support workers to form a cohesive group. Create a supportive and safe atmosphere for an active exploration of your artistic discipline.";"skill";"http://data.europa.eu/esco/skill/d74fb4cc-222e-4ad7-a064-78411fa4dc63"
"maintain artist flying system";"Install, operate, maintain and repair artist flying systems for onstage purposes.";"skill";"http://data.europa.eu/esco/skill/5f34a057-f789-43dd-ae23-3a3aeb74eafd"
"teach physics";"Instruct students in the theory and practice of physics, and more specifically in topics such as the characteristics of matter, creating energy, and aerodynamics.";"skill";"http://data.europa.eu/esco/skill/2bc7884c-0d04-4ae9-a4e5-dccd77701ba3"
"psychiatry";"Psychiatry is a medical specialty mentioned in the EU Directive 2005/36/EC.";"knowledge";"http://data.europa.eu/esco/skill/f9f258e3-4728-4107-9e08-293d5d2ef65e"
"mix chemicals";"Mix chemical substances safely according to recipe, using the proper dosages.";"skill";"http://data.europa.eu/esco/skill/2fffc0e3-3e79-4e85-8af4-c0ae327ce2f8"
"manufacture texturised filament yarns";"Perform the operation, monitoring and maintenance of machines and processes to manufacture texturised filament yarns.";"skill";"http://data.europa.eu/esco/skill/cdde122d-eb32-4b60-90c0-117107d04e4b"
"manufacture staple yarns";"Perform the operation, monitoring and maintenance of machines and processes to manufacture staple fiber yarns.";"skill";"http://data.europa.eu/esco/skill/60e1eb15-5e2b-4501-bc4f-8de1929b71a4"
"review investment portfolios";"Meet with clients to review or update an investment portfolio and provide financial advice on investments.";"skill";"http://data.europa.eu/esco/skill/56426cfa-6e92-4ed9-a632-f08849864588"
"motion graphics";"The techniques and software for creating the illusion of motion such as keyframing, Adobe After Effects, and Nuke.";"knowledge";"http://data.europa.eu/esco/skill/8afe68ff-b261-4fa8-ab25-bb30b0e5c292"
"develop investment portfolio";"Create an investment portfolio for a customer that includes an insurance policy or multiple policies to cover specific risks, such as financial risks, assistance, reinsurance, industrial risks or natural and technical disasters.";"skill";"http://data.europa.eu/esco/skill/452c4c68-50d7-42ed-8c4e-b437446637d0"
"perform financial analysis on price strategies";"Make up a thorough financial analysis for a business; monitor pricing actions and strategies.";"skill";"http://data.europa.eu/esco/skill/3ad4d492-6fae-47b3-b72a-9a7c1c17da6e"
"plan maintenance activities";"Plan and organise the process aimed at preserving equipment or systems in good working condition by inspecting the installation, resolving malfunctions, replacing worn parts and performing other maintenance tasks.";"skill";"http://data.europa.eu/esco/skill/649b00ec-a70d-4b3a-ae2e-5662964b0fb8"
"set up pricing strategies";"Apply methods used for setting product value taking into consideration market conditions, competitor actions, input costs, and others.";"skill";"http://data.europa.eu/esco/skill/183134a2-3f8e-4a38-9e81-35c2bec0272b"
"leather goods materials";"The wide range of materials used in leather goods production: leather, leather substitutes (synthetics or artificial materials), textile, etc; the way of distinguishing among various materials based on their properties, advantages and limitations.";"knowledge";"http://data.europa.eu/esco/skill/f7a1ccf0-fb40-49ef-ae9b-8a1f8646c218"
"mine safety legislation";"The laws, regulations and codes of practice relevant to safety in mining operations.";"knowledge";"http://data.europa.eu/esco/skill/4064716d-6714-48ea-95a0-ef81c2b31672"
"metal drawing processes";"The various types of drawing processes in metal fabrication, such as wire drawing, bar drawing, tube drawing, and others.";"knowledge";"http://data.europa.eu/esco/skill/f12d412a-04e3-49a8-a4f6-2e32a67c12a2"
